time,D1_old,D2_old,SB_initiation_strain,average_strain_inside_SB,crss_gp_shear,crss_or,epsilon_p_zz,global_strain,global_stress,inside_sb_region,local_crss_dendrite_core,local_crss_interdendrite,local_damage_dendrite_core,local_damage_interdendrite,local_strain_dendrite_core,local_strain_interdendrite,max_crss_shear,min_crss_shear,residual_ssd_1,sb_initiation_old,slip_resistance_1,slip_resistance_gamma,strain_zz_old,w_back,w_front
241.71245195553,0,0,0,0.27033884867775,383.66721578945,57.088599999089,0.25201737331234,0.24396343617272,666.24783669975,0,158.71790338821,223.00388706489,0.31332550744999,0.42470648083531,0.26972017521005,0.27095752214544,383.66721578945,325.9663990251,201.39969907159,0,58.368170663754,171.26283390979,0.2357162831015,6.1724740871924,7.6362547042287
241.9096595044,0,0,0,0.27056098260375,383.66721578945,57.088599999089,0.25225816939796,0.24416199222372,666.18907204215,0,158.71397295224,222.9947774094,0.3135635296099,0.4250493251858,0.26994058989684,0.27118137531066,383.66721578945,325.9663990251,201.39969907159,0,58.368414303313,171.25767177462,0.23593089150082,6.1730432850824,7.6380152384247
242.12658780816,0,0,0,0.27080606445252,383.66721578945,57.088599999089,0.25252299088477,0.244379752273,666.2630238806,0,158.70964588136,222.98475740294,0.31382553634266,0.42542624574966,0.27018366717158,0.27142846173346,383.66721578945,325.9663990251,201.39969907159,0,58.368681286203,171.25199356648,0.23616702833547,6.1736823056265,7.6399608192645
242.36520894229,0,0,0,0.2710758747432,383.66721578945,57.088599999089,0.25281440635587,0.24462014789487,666.17696897255,0,158.70487797048,222.97374024573,0.31411396847925,0.42584083747637,0.2704522676222,0.2716994818642,383.66721578945,325.9663990251,201.39969907159,0,58.368973481779,171.24575022026,0.23642674192112,6.1743765319843,7.6420974193535
242.49645056606,0,0,0,0.2713734073314,383.66721578945,57.088599999089,0.2529747345265,0.24475217849933,666.15656094146,0,158.69962894186,222.96162350394,0.31427199866268,0.42606879365279,0.27074807522283,0.27199873943998,383.66721578945,325.9663990251,201.39969907159,0,58.369133529928,171.23888173045,0.23671252293881,6.174757448629,7.6432705196249
242.62769218983,0,0,0,0.27153292858547,383.66721578945,57.088599999089,0.25313512739894,0.24488470530944,666.11727463926,0,158.69675150639,222.95496029415,0.31443037860272,0.42629674750553,0.27090356659118,0.27216229057976,383.66721578945,325.9663990251,201.39969907159,0,58.369293049016,171.23510336442,0.23686970991354,6.175144752381,7.6444529842377
242.77205797598,0,0,0,0.27169793391002,383.66721578945,57.088599999089,0.25331153095743,0.24502960241261,665.91498947983,0,158.69385969257,222.94829691703,0.31460458116314,0.42654755495632,0.27106882906182,0.27232703875823,383.66721578945,325.9663990251,201.39969907159,0,58.369468090171,171.23132370379,0.23702692965106,6.1755600295768,7.6457376440524
242.93086034075,0,0,0,0.27187769501879,383.66721578945,57.088599999089,0.25350567696611,0.24519004789866,666.08304733438,0,158.69067775208,222.94096385032,0.31479608801879,0.42682349854826,0.27124681363147,0.27250857640611,383.66721578945,325.9663990251,201.39969907159,0,58.369660140938,171.22716752437,0.23719995394705,6.1760233941842,7.6471636815762
243.10554294199,0,0,0,0.27207511693496,383.66721578945,57.088599999089,0.25371922651021,0.24536563821278,666.00381422416,0,158.68718440137,222.93289731108,0.31500703073258,0.4271269515937,0.27144179427808,0.27270843959183,383.66721578945,325.9663990251,201.39969907159,0,58.369870863445,171.22259423354,0.23739036727028,6.1765342876495,7.6487281169262
243.29769380335,0,0,0,0.2722933350545,383.66721578945,57.088599999089,0.25395423122588,0.24555950318038,666.01013643647,0,158.68332947708,222.92402662528,0.31523866508504,0.4274607094853,0.27165939249676,0.27292727761223,383.66721578945,325.9663990251,201.39969907159,0,58.370101754529,171.21756483311,0.2375998336701,6.1770935256371,7.6504505447194
243.50905975085,0,0,0,0.27253118599316,383.66721578945,57.088599999089,0.25421266408263,0.24577164434873,665.91784731486,0,158.67910291798,222.91426832433,0.31549448183888,0.42782754685602,0.27189393720008,0.27316843478624,383.66721578945,325.9663990251,201.39969907159,0,58.370354822047,171.21203096082,0.23783030969174,6.1777091886522,7.6523390547446
